# t,tf0,ts0
5.203925999999999767e+05,8.750319610834121704e+02,8.053574326862860744e+02
5.228706599999999744e+05,8.721734783649444580e+02,8.456074102152855403e+02
5.253487199999999721e+05,8.726374211311340332e+02,8.626563975931981076e+02
5.278267800000000279e+05,8.729345401525497437e+02,8.682583088240957068e+02
5.303048399999999674e+05,8.730952237844467163e+02,8.709851956436278897e+02
5.327829000000000233e+05,8.730649394989013672e+02,8.721154016963890854e+02
5.352609599999999627e+05,8.730012488365173340e+02,8.722225373836334938e+02
5.377390200000000186e+05,8.729935476779937744e+02,8.724909749797936911e+02
5.402170799999999581e+05,8.730379854440689087e+02,8.726281336352459448e+02
5.426951400000000140e+05,8.730387139320373535e+02,8.726946316480183441e+02
5.451731999999999534e+05,8.730261214971542358e+02,8.727988014614536496e+02
5.476512600000000093e+05,8.730559895038604736e+02,8.729030753406365193e+02
5.501293199999999488e+05,8.731045900583267212e+02,8.729263860681186316e+02
5.526073800000000047e+05,8.731733801364898682e+02,8.729860157415436106e+02
5.550854399999999441e+05,8.730011447668075562e+02,8.728992769408459935e+02
5.575635000000000000e+05,8.728684558868408203e+02,8.726662216988995624e+02
5.600415599999999395e+05,8.720949057340621948e+02,8.724270786107134654e+02
5.625196199999999953e+05,8.721142627000808716e+02,8.722205081015536052e+02
5.649976799999999348e+05,8.706821594238281250e+02,8.712806903341868292e+02
5.674757399999999907e+05,8.662747031450271606e+02,8.689969675011823256e+02
5.699537999999999302e+05,8.584269104003906250e+02,8.639417656757615305e+02
5.724318599999999860e+05,8.445962541103363037e+02,8.537314589071398814e+02
5.749099199999999255e+05,8.254106909036636353e+02,8.388159234225709042e+02
5.773879799999999814e+05,8.022909804582595825e+02,8.188629293225619676e+02
5.798660399999999208e+05,7.730443739891052246e+02,7.928217247527111340e+02
5.823440999999999767e+05,7.451359999179840088e+02,7.658597464473203900e+02
5.848221600000000326e+05,7.334486593008041382e+02,7.456415928222033926e+02
5.873002199999999721e+05,7.447222187519073486e+02,7.415096623102670037e+02
5.897782800000000279e+05,7.398839138746261597e+02,7.407770914794201644e+02
5.922563399999999674e+05,7.381060910224914551e+02,7.399325979369351671e+02
5.947344000000000233e+05,7.394412013292312622e+02,7.387410971587860331e+02
5.972124599999999627e+05,7.378549708127975464e+02,7.385968099996171077e+02
5.996905200000000186e+05,7.369952509403228760e+02,7.362628754433533231e+02
6.021685799999999581e+05,7.382393002510070801e+02,7.377212007985735909e+02
